project,issuekey,issuetype,from_flow_id,to_flow_id,cycle,rolling_cycle
BBSDEV,BBSDEV-16386,Task,,1000001,25.0,25.0
BBSDEV,BBSDEV-16386,Task,1000001,2010014,52.0,77.0
BBSDEV,BBSDEV-16386,Task,2010014,3000006,,77.0
BBSDEV,BBSDEV-16388,Task,,1000001,25.0,25.0
BBSDEV,BBSDEV-16388,Task,1000001,2010014,38.0,63.0
BBSDEV,BBSDEV-16388,Task,2010014,3000006,,63.0
BBSDEV,BBSDEV-16393,Task,,1010006,24.0,24.0
BBSDEV,BBSDEV-16393,Task,1010006,2000001,0.0,24.0
BBSDEV,BBSDEV-16393,Task,2000001,3010014,3.0,27.0
BBSDEV,BBSDEV-16393,Task,3010014,4010003,0.0,27.0
BBSDEV,BBSDEV-16393,Task,4010003,5012101,0.0,27.0
BBSDEV,BBSDEV-16393,Task,5012101,6000006,,27.0
BBSDEV,BBSDEV-16431,Task,,1010006,346.0,346.0
BBSDEV,BBSDEV-16431,Task,1010006,2000001,,346.0
BBSDEV,BBSDEV-16439,Epic,,1000001,118.0,118.0
BBSDEV,BBSDEV-16439,Epic,1000001,2000006,69.0,187.0
BBSDEV,BBSDEV-16439,Epic,2000006,3010001,,187.0
BBSDEV,BBSDEV-16456,Epic,,1010006,52.0,52.0
BBSDEV,BBSDEV-16456,Epic,1010006,2000001,0.0,52.0
BBSDEV,BBSDEV-16456,Epic,2000001,3010014,0.0,52.0
BBSDEV,BBSDEV-16456,Epic,3010014,4000006,135.0,187.0
BBSDEV,BBSDEV-16456,Epic,4000006,5010001,,187.0
BBSDEV,BBSDEV-16462,Task,,1010006,68.0,68.0
BBSDEV,BBSDEV-16462,Task,1010006,2000001,0.0,68.0
BBSDEV,BBSDEV-16462,Task,2000001,3010014,1.0,69.0
BBSDEV,BBSDEV-16462,Task,3010014,4010003,5.0,74.0
BBSDEV,BBSDEV-16462,Task,4010003,5000006,,74.0
BBSDEV,BBSDEV-16465,Task,,1010006,345.0,345.0
BBSDEV,BBSDEV-16465,Task,1010006,2000001,,345.0
BBSDEV,BBSDEV-16466,Epic,,1000001,27.0,27.0
BBSDEV,BBSDEV-16466,Epic,1000001,2010014,0.0,27.0
BBSDEV,BBSDEV-16466,Epic,2010014,3010003,0.0,27.0
BBSDEV,BBSDEV-16466,Epic,3010003,4010014,0.0,27.0
BBSDEV,BBSDEV-16466,Epic,4010014,5010006,0.0,27.0
BBSDEV,BBSDEV-16466,Epic,5010006,6000001,0.0,27.0
BBSDEV,BBSDEV-16466,Epic,6000001,7010014,0.0,27.0
BBSDEV,BBSDEV-16466,Epic,7010014,8010003,65.0,92.0
BBSDEV,BBSDEV-16466,Epic,8010003,9000006,94.0,186.0
BBSDEV,BBSDEV-16466,Epic,9000006,10010001,,186.0
BBSDEV,BBSDEV-16472,Bug,,1010006,188.0,188.0
BBSDEV,BBSDEV-16472,Bug,1010006,2000001,0.0,188.0
BBSDEV,BBSDEV-16472,Bug,2000001,3015900,7.0,195.0
BBSDEV,BBSDEV-16472,Bug,3015900,4000006,,195.0
BBSDEV,BBSDEV-16489,Bug,,1010006,185.0,185.0
BBSDEV,BBSDEV-16489,Bug,1010006,2000001,0.0,185.0
BBSDEV,BBSDEV-16489,Bug,2000001,3015900,0.0,185.0
BBSDEV,BBSDEV-16489,Bug,3015900,4000001,371.0,556.0
BBSDEV,BBSDEV-16489,Bug,4000001,5010014,0.0,556.0
BBSDEV,BBSDEV-16489,Bug,5010014,6000006,,556.0
BBSDEV,BBSDEV-16518,Sub-task,,1010006,8.0,8.0
BBSDEV,BBSDEV-16518,Sub-task,1010006,2000001,2.0,10.0
BBSDEV,BBSDEV-16518,Sub-task,2000001,3000006,0.0,10.0
BBSDEV,BBSDEV-16518,Sub-task,3000006,4000001,0.0,10.0
BBSDEV,BBSDEV-16518,Sub-task,4000001,5010014,0.0,10.0
BBSDEV,BBSDEV-16518,Sub-task,5010014,6010003,0.0,10.0
BBSDEV,BBSDEV-16518,Sub-task,6010003,7010014,1.0,11.0
BBSDEV,BBSDEV-16518,Sub-task,7010014,8010003,0.0,11.0
BBSDEV,BBSDEV-16518,Sub-task,8010003,9000006,,11.0
BBSDEV,BBSDEV-16520,Improvement,,1000001,12.0,12.0
BBSDEV,BBSDEV-16520,Improvement,1000001,2010014,0.0,12.0
BBSDEV,BBSDEV-16520,Improvement,2010014,3010003,14.0,26.0
BBSDEV,BBSDEV-16520,Improvement,3010003,4000006,,26.0
BBSDEV,BBSDEV-16521,Bug,,1015900,0.0,0.0
BBSDEV,BBSDEV-16521,Bug,1015900,2000001,0.0,0.0
BBSDEV,BBSDEV-16521,Bug,2000001,3010014,0.0,0.0
BBSDEV,BBSDEV-16521,Bug,3010014,4010003,0.0,0.0
BBSDEV,BBSDEV-16521,Bug,4010003,5000006,0.0,0.0
BBSDEV,BBSDEV-16521,Bug,5000006,6000001,0.0,0.0
BBSDEV,BBSDEV-16521,Bug,6000001,7000006,,0.0
BBSDEV,BBSDEV-16524,Task,,1000001,16.0,16.0
BBSDEV,BBSDEV-16524,Task,1000001,2010014,0.0,16.0
BBSDEV,BBSDEV-16524,Task,2010014,3000001,42.0,58.0
BBSDEV,BBSDEV-16524,Task,3000001,4010014,12.0,70.0
BBSDEV,BBSDEV-16524,Task,4010014,5000006,42.0,112.0
BBSDEV,BBSDEV-16524,Task,5000006,6000001,65.0,177.0
BBSDEV,BBSDEV-16524,Task,6000001,7000006,0.0,177.0
BBSDEV,BBSDEV-16524,Task,7000006,8000001,,177.0
BBSDEV,BBSDEV-16526,Task,,1000001,17.0,17.0
BBSDEV,BBSDEV-16526,Task,1000001,2000006,0.0,17.0
BBSDEV,BBSDEV-16526,Task,2000006,3000001,148.0,165.0
BBSDEV,BBSDEV-16526,Task,3000001,4010014,0.0,165.0
BBSDEV,BBSDEV-16526,Task,4010014,5000001,27.0,192.0
BBSDEV,BBSDEV-16526,Task,5000001,6010014,5.0,197.0
BBSDEV,BBSDEV-16526,Task,6010014,7000001,3.0,200.0
BBSDEV,BBSDEV-16526,Task,7000001,8010014,0.0,200.0
BBSDEV,BBSDEV-16526,Task,8010014,9000001,5.0,205.0
BBSDEV,BBSDEV-16526,Task,9000001,10010014,6.0,211.0
BBSDEV,BBSDEV-16526,Task,10010014,11000006,0.0,211.0
BBSDEV,BBSDEV-16526,Task,11000006,12012101,0.0,211.0
BBSDEV,BBSDEV-16526,Task,12012101,13010003,0.0,211.0
BBSDEV,BBSDEV-16526,Task,13010003,14000006,0.0,211.0
BBSDEV,BBSDEV-16526,Task,14000006,15000001,0.0,211.0
BBSDEV,BBSDEV-16526,Task,15000001,16010014,6.0,217.0
BBSDEV,BBSDEV-16526,Task,16010014,17010003,6.0,223.0
BBSDEV,BBSDEV-16526,Task,17010003,18012101,0.0,223.0
BBSDEV,BBSDEV-16526,Task,18012101,19000006,,223.0
BBSDEV,BBSDEV-16528,Task,,1000001,17.0,17.0
BBSDEV,BBSDEV-16528,Task,1000001,2000006,0.0,17.0
BBSDEV,BBSDEV-16528,Task,2000006,3000001,184.0,201.0
BBSDEV,BBSDEV-16528,Task,3000001,4010014,0.0,201.0
