project,issuekey,issuetype,rnk,status,leading_status,lagging_status,category,leading_category,lagging_category,created,started,finished,cycle,rolling_cycle
BBSDEV,BBSDEV-16246,Task,1,Open,,Closed,ToDo,,Done,2017-10-20 00:23:00,2017-10-20 00:23:00,2017-12-11 06:53:03.273,52.0,52.0
BBSDEV,BBSDEV-16246,Task,2,Closed,Open,,Done,ToDo,,2017-10-20 00:23:00,2017-12-11 06:53:03.273,,,52.0
BBSDEV,BBSDEV-16261,Task,1,Triage,,Open,ToDo,,ToDo,2017-10-25 12:19:00,2017-10-25 12:19:00,2017-12-08 04:41:22.401,43.0,43.0
BBSDEV,BBSDEV-16261,Task,2,Open,Triage,In progress,ToDo,ToDo,Doing,2017-10-25 12:19:00,2017-12-08 04:41:22.401,2017-12-08 04:43:37.541,0.0,43.0
BBSDEV,BBSDEV-16261,Task,3,In progress,Open,Code review,Doing,ToDo,Doing,2017-10-25 12:19:00,2017-12-08 04:43:37.541,2017-12-08 04:43:40.092,0.0,43.0
BBSDEV,BBSDEV-16261,Task,4,Code review,In progress,Quality Review,Doing,Doing,Doing,2017-10-25 12:19:00,2017-12-08 04:43:40.092,2017-12-11 08:51:20.986,3.0,46.0
BBSDEV,BBSDEV-16261,Task,5,Quality Review,Code review,Closed,Doing,Doing,Done,2017-10-25 12:19:00,2017-12-11 08:51:20.986,2017-12-11 08:51:27.643,0.0,46.0
BBSDEV,BBSDEV-16261,Task,6,Closed,Quality Review,,Done,Doing,,2017-10-25 12:19:00,2017-12-11 08:51:27.643,,,46.0
BBSDEV,BBSDEV-16264,Task,1,Triage,,Open,ToDo,,ToDo,2017-10-25 12:24:00,2017-10-25 12:24:00,2017-12-08 04:41:38.789,43.0,43.0
BBSDEV,BBSDEV-16264,Task,2,Open,Triage,In progress,ToDo,ToDo,Doing,2017-10-25 12:24:00,2017-12-08 04:41:38.789,2017-12-08 04:44:18.241,0.0,43.0
BBSDEV,BBSDEV-16264,Task,3,In progress,Open,Code review,Doing,ToDo,Doing,2017-10-25 12:24:00,2017-12-08 04:44:18.241,2017-12-08 04:44:20.552,0.0,43.0
BBSDEV,BBSDEV-16264,Task,4,Code review,In progress,Closed,Doing,Doing,Done,2017-10-25 12:24:00,2017-12-08 04:44:20.552,2017-12-11 08:51:47.479,3.0,46.0
